Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,Country-year,gdp_per_capita ($),Generation
0,14.0,1.0,3.0,0,391300,0.0,10.0,1127,4
0,15.0,1.0,1.0,17,232000,7.33,11.0,1299,2
0,15.0,1.0,4.0,10,177400,5.64,11.0,1299,5
0,15.0,0.0,5.0,2,37800,5.29,11.0,1299,1
0,15.0,1.0,5.0,1,24900,4.02,11.0,1299,1
0,15.0,0.0,0.0,6,263900,2.27,11.0,1299,2
0,15.0,1.0,0.0,5,240000,2.08,11.0,1299,2
0,15.0,0.0,2.0,5,332200,1.51,11.0,1299,0
0,15.0,0.0,1.0,3,245800,1.22,11.0,1299,2
0,15.0,1.0,2.0,4,374700,1.07,11.0,1299,0
0,15.0,1.0,3.0,1,374900,0.27,11.0,1299,4
0,15.0,0.0,3.0,0,324700,0.0,11.0,1299,4
0,15.0,0.0,4.0,0,168000,0.0,11.0,1299,5
0,16.0,1.0,1.0,22,206484,10.65,12.0,1451,2
0,16.0,1.0,2.0,34,378826,8.98,12.0,1451,0
0,16.0,1.0,4.0,11,196670,5.59,12.0,1451,5
0,16.0,0.0,5.0,2,47254,4.23,12.0,1451,5
0,16.0,1.0,0.0,10,256039,3.91,12.0,1451,4
0,16.0,0.0,0.0,9,271359,3.32,12.0,1451,4
0,16.0,0.0,2.0,12,370191,3.24,12.0,1451,0
0,16.0,1.0,5.0,1,31044,3.22,12.0,1451,5
0,16.0,0.0,4.0,6,189799,3.16,12.0,1451,5
0,16.0,1.0,3.0,6,321556,1.87,12.0,1451,4
0,16.0,0.0,1.0,4,222771,1.8,12.0,1451,2
0,16.0,0.0,3.0,2,307356,0.65,12.0,1451,4
0,17.0,1.0,5.0,4,31007,12.9,13.0,1573,5
0,17.0,1.0,1.0,23,206286,11.15,13.0,1573,2
0,17.0,1.0,2.0,35,382139,9.16,13.0,1573,0
0,17.0,1.0,4.0,13,198130,6.56,13.0,1573,5
0,17.0,1.0,0.0,15,263067,5.7,13.0,1573,4
0,17.0,0.0,0.0,14,275970,5.07,13.0,1573,4
0,17.0,0.0,2.0,15,375113,4.0,13.0,1573,0
0,17.0,0.0,1.0,7,223685,3.13,13.0,1573,2
0,17.0,0.0,5.0,1,47407,2.11,13.0,1573,5
0,17.0,0.0,4.0,4,191712,2.09,13.0,1573,5
0,17.0,0.0,3.0,1,304850,0.33,13.0,1573,4
0,17.0,1.0,3.0,1,319473,0.31,13.0,1573,4
0,18.0,0.0,5.0,6,49088,12.22,14.0,2021,5
0,18.0,1.0,4.0,16,201520,7.94,14.0,2021,5
0,18.0,1.0,2.0,28,386196,7.25,14.0,2021,0
0,18.0,1.0,0.0,15,273235,5.49,14.0,2021,4
0,18.0,0.0,0.0,14,283709,4.93,14.0,2021,4
0,18.0,0.0,4.0,9,195699,4.6,14.0,2021,5
0,18.0,1.0,1.0,9,205433,4.38,14.0,2021,2
0,18.0,0.0,1.0,9,222941,4.04,14.0,2021,2
0,18.0,0.0,2.0,13,381760,3.41,14.0,2021,0
0,18.0,1.0,5.0,1,32667,3.06,14.0,2021,5
0,18.0,1.0,3.0,4,313204,1.28,14.0,2021,4
0,18.0,0.0,3.0,0,298477,0.0,14.0,2021,4
0,19.0,1.0,5.0,4,35526,11.26,15.0,2544,5
0,19.0,1.0,2.0,39,391767,9.95,15.0,2544,0
0,19.0,1.0,1.0,16,203938,7.85,15.0,2544,2
0,19.0,0.0,0.0,20,292268,6.84,15.0,2544,4
0,19.0,1.0,0.0,19,286768,6.63,15.0,2544,4
0,19.0,0.0,5.0,3,50970,5.89,15.0,2544,5
0,19.0,0.0,1.0,11,222389,4.95,15.0,2544,2
0,19.0,1.0,4.0,10,207202,4.83,15.0,2544,5
0,19.0,0.0,2.0,17,391436,4.34,15.0,2544,0
0,19.0,0.0,4.0,3,203841,1.47,15.0,2544,5
0,19.0,0.0,3.0,3,286705,1.05,15.0,2544,4
0,19.0,1.0,3.0,1,302181,0.33,15.0,2544,4
0,20.0,0.0,0.0,0,281922,0.0,16.0,2931,4
0,20.0,0.0,1.0,0,190745,0.0,16.0,2931,2
0,20.0,0.0,2.0,0,386513,0.0,16.0,2931,0
0,20.0,0.0,3.0,0,276559,0.0,16.0,2931,4
0,20.0,0.0,4.0,0,210998,0.0,16.0,2931,5
0,20.0,0.0,5.0,0,53191,0.0,16.0,2931,5
0,20.0,1.0,0.0,0,281675,0.0,16.0,2931,4
0,20.0,1.0,1.0,0,177519,0.0,16.0,2931,2
0,20.0,1.0,2.0,0,380242,0.0,16.0,2931,0
0,20.0,1.0,3.0,0,291367,0.0,16.0,2931,4
0,20.0,1.0,4.0,0,214118,0.0,16.0,2931,5
0,20.0,1.0,5.0,0,38471,0.0,16.0,2931,5
0,21.0,0.0,0.0,0,283138,0.0,17.0,3235,4
0,21.0,0.0,1.0,0,186391,0.0,17.0,3235,2
0,21.0,0.0,2.0,0,388746,0.0,17.0,3235,0
0,21.0,0.0,3.0,0,267316,0.0,17.0,3235,4
0,21.0,0.0,4.0,0,215907,0.0,17.0,3235,5
0,21.0,0.0,5.0,0,56011,0.0,17.0,3235,5
0,21.0,1.0,0.0,0,286679,0.0,17.0,3235,4
0,21.0,1.0,1.0,0,174092,0.0,17.0,3235,2
0,21.0,1.0,2.0,0,379076,0.0,17.0,3235,0
0,21.0,1.0,3.0,0,282678,0.0,17.0,3235,4
0,21.0,1.0,4.0,0,219360,0.0,17.0,3235,5
0,21.0,1.0,5.0,0,40782,0.0,17.0,3235,5
0,22.0,1.0,5.0,8,42366,18.88,18.0,3863,5
0,22.0,1.0,2.0,29,378626,7.66,18.0,3863,0
0,22.0,1.0,4.0,14,224160,6.25,18.0,3863,5
0,22.0,0.0,5.0,3,57404,5.23,18.0,3863,5
0,22.0,1.0,1.0,9,172494,5.22,18.0,3863,2
0,22.0,0.0,0.0,13,281080,4.63,18.0,3863,4
0,22.0,1.0,0.0,13,288349,4.51,18.0,3863,4
0,22.0,0.0,1.0,8,183629,4.36,18.0,3863,2
0,22.0,0.0,4.0,9,221120,4.07,18.0,3863,5
0,22.0,0.0,2.0,14,391811,3.57,18.0,3863,0
0,22.0,1.0,3.0,4,272497,1.47,18.0,3863,3
0,22.0,0.0,3.0,0,256808,0.0,18.0,3863,3
0,23.0,1.0,1.0,21,172855,12.15,19.0,4672,2
0,23.0,1.0,2.0,37,377119,9.81,19.0,4672,0
0,23.0,1.0,4.0,21,228672,9.18,19.0,4672,5
0,23.0,0.0,5.0,5,59369,8.42,19.0,4672,5
0,23.0,0.0,0.0,20,276073,7.24,19.0,4672,4
0,23.0,0.0,1.0,9,182663,4.93,19.0,4672,2
0,23.0,0.0,2.0,19,393832,4.82,19.0,4672,0
0,23.0,1.0,5.0,2,44574,4.49,19.0,4672,5
0,23.0,1.0,0.0,11,286702,3.84,19.0,4672,4
0,23.0,0.0,4.0,7,226448,3.09,19.0,4672,5
0,23.0,1.0,3.0,7,262464,2.67,19.0,4672,3
